id,date,day,trading,data available,price,spread-low,spread-high,event
OT010,1912-04-02T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-03T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-04T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-05T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-06T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-07T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-04-08T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-09T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-10T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-11T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-12T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-13T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-14T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-04-15T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-16T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-17T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-18T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-19T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-20T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-21T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-04-22T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-23T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-24T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-25T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-26T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-27T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-28T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-04-29T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-04-30T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-01T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-02T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-03T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-04T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-05T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-05-06T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-07T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-08T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-09T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-10T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
